,mean abs,max abs,mean rel,mean rel 0-10,mean rel 11-40,mean rel 41+
top 3
,1.509,19.217,0.120,0.268,0.045,0.077
,1.484,18.456,0.135,0.316,0.049,0.070
,1.550,18.990,0.133,0.307,0.047,0.076
,1.582,20.232,0.135,0.311,0.049,0.077
,1.571,20.429,0.130,0.295,0.048,0.077
,1.483,17.601,nan,nan,0.047,0.072
,1.582,20.232,0.135,0.311,0.049,0.077
,1.577,18.987,nan,nan,0.046,0.080
,1.582,20.232,0.135,0.311,0.049,0.077
,1.438,18.544,0.127,0.295,0.047,0.070
,1.550,18.990,0.133,0.307,0.047,0.076
,1.483,17.601,nan,nan,0.047,0.072
,1.550,18.990,0.133,0.307,0.047,0.076
,1.484,18.456,0.135,0.316,0.049,0.070
,1.506,19.532,0.137,0.322,0.050,0.070
,1.582,20.232,0.135,0.311,0.049,0.077
,1.464,17.655,0.134,0.315,0.049,0.069
,1.506,19.532,0.137,0.322,0.050,0.070
,1.437,17.805,0.132,0.311,0.048,0.067
,1.582,20.232,0.135,0.311,0.049,0.077
means:,1.525 +/- 0.024,19.097 +/- 0.456,0.133 +/- 0.002,0.308 +/- 0.007,0.048 +/- 0.001,0.074 +/- 0.002,
standard errors:,0.051,0.974,0.004,0.012,0.001,0.004,
top 50%
,1.562,19.549,0.131,0.300,0.047,0.077
,1.522,18.660,0.125,0.283,0.046,0.076
,1.490,17.987,0.134,0.316,0.048,0.071
,1.504,19.024,0.132,0.308,0.048,0.072
,1.530,19.354,0.135,0.314,0.049,0.074
,1.527,18.919,0.125,0.283,0.044,0.078
,1.521,17.451,nan,nan,0.046,0.077
,1.506,18.212,0.126,0.288,0.044,0.076
,1.510,18.464,0.133,0.310,0.046,0.074
,1.495,18.116,nan,nan,0.048,0.073
,1.504,18.224,nan,nan,0.046,0.074
,1.512,18.251,nan,nan,0.047,0.075
,1.506,18.581,0.130,0.301,0.046,0.074
,1.528,18.420,0.131,0.302,0.046,0.076
,1.471,18.127,0.128,0.296,0.045,0.072
,1.508,18.296,0.123,0.279,0.043,0.077
,1.482,17.710,0.135,0.318,0.049,0.070
,1.488,17.920,0.131,0.306,0.046,0.073
,1.463,18.057,0.129,0.302,0.046,0.071
,1.504,19.024,0.132,0.308,0.048,0.072
means:,1.507 +/- 0.010,18.417 +/- 0.252,0.130 +/- 0.002,0.301 +/- 0.006,0.047 +/- 0.001,0.074 +/- 0.001,
standard errors:,0.022,0.539,0.003,0.011,0.002,0.002,
